day,Kim,paco,tabixe,cutiglias,Manu,bcalle
2021-09-14,,125,238,75,0,
2021-09-15,,235,150,90,0,
2021-09-16,,225,335,80,0,
2021-09-17,,210,170,45,0,
2021-09-18,,235,0,,0,
2021-09-19,,254,0,,0,
2021-09-20,,225,211,165,0,
2021-09-21,,260,150,90,0,
2021-09-22,,190,90,80,0,
2021-09-23,,160,240,,0,
2021-09-24,,85,260,,0,
2021-09-25,,235,0,,0,
2021-09-26,,126,0,,0,
2021-09-27,,165,245,85,150,
2021-09-28,,250,105,80,175,
2021-09-29,,185,110,210,0,
2021-09-30,,225,60,60,173,
2021-10-01,0,135,0,90,125,
2021-10-02,0,265,0,,0,
2021-10-03,0,254,0,,50,
2021-10-04,0,200,270,,220,
2021-10-05,0,175,271,75,55,200
2021-10-06,0,450,288,85,185,150
2021-10-07,0,250,220,55,85,75
2021-10-08,0,50,120,80,150,125
2021-10-09,0,25,,,0,50
2021-10-10,0,50,,,0,
2021-10-11,0,220,160,40,0,
2021-10-12,0,135,165,120,0,
2021-10-13,0,156,345,145,0,200
2021-10-14,0,75,113,60,0,100
2021-10-15,0,25,195,155,140,125
2021-10-16,0,0,,,0,
2021-10-17,0,0,,,0,
2021-10-18,0,25,50,115,150,100
2021-10-19,0,125,264,140,115,125
2021-10-20,0,75,274,55,0,175
2021-10-21,0,194,238,230,0,150
2021-10-22,0,80,145,50,0,175
2021-10-23,0,25,,,0,
2021-10-24,0,144,,,0,100
2021-10-25,0,285,109,50,0,75
2021-10-26,0,300,75,65,0,100
2021-10-27,0,0,335,75,0,75
2021-10-28,0,0,430,105,0,100
2021-10-29,0,25,,,0,100
2021-10-30,0,0,,,0,
2021-10-31,0,0,,,0,
2021-11-01,0,150,180,,0,
2021-11-02,0,167,251,100,0,125
2021-11-03,0,100,235,75,0,
2021-11-04,0,25,80,175,0,125
2021-11-05,0,0,,,0,
2021-11-06,0,0,,,0,
2021-11-07,0,0,,,0,
2021-11-08,0,90,30,140,0,
2021-11-09,100,0,483,65,0,
2021-11-10,75,25,210,75,0,
2021-11-11,0,100,315,60,0,100
2021-11-12,25,25,320,,0,100
2021-11-13,75,75,,,0,
2021-11-14,0,0,,,0,
2021-11-15,0,225,60,,0,125
2021-11-16,0,50,340,,0,100
2021-11-17,75,75,200,,0,50
2021-11-18,50,75,60,235,0,
2021-11-19,0,25,45,,0,
2021-11-20,25,25,,,0,
2021-11-21,0,0,,,0,
2021-11-22,125,75,105,55,0,
2021-11-23,25,125,270,65,0,
2021-11-24,50,150,130,120,0,
2021-11-25,0,125,120,35,0,
2021-11-26,0,75,90,,0,
2021-11-27,0,50,,,0,
2021-11-28,0,75,,,0,
2021-11-29,0,100,,30,0,125
2021-11-30,0,100,135,,0,200
2021-12-01,0,175,75,,0,100
2021-12-02,0,100,30,,0,
2021-12-03,0,190,60,,0,
2021-12-04,0,145,,,0,
2021-12-05,0,80,,,0,
2021-12-06,25,50,,,0,100
2021-12-07,50,135,,,0,250
2021-12-08,100,0,150,85,0,150
2021-12-09,75,0,59,110,0,150
2021-12-10,25,0,,,0,
2021-12-11,50,50,,,0,
2021-12-12,100,50,,,0,
2021-12-13,75,150,170,,0,25
2021-12-14,0,25,70,,0,
2021-12-15,50,0,65,,0,50
2021-12-16,25,50,210,,0,75
2021-12-17,0,97,45,,0,
2021-12-18,0,74,,,0,
2021-12-19,0,0,,,0,
2021-12-20,75,140,20,,0,50
2021-12-21,50,85,,,0,
2021-12-22,50,50,,,0,
2021-12-23,0,21,250,,0,
2021-12-24,50,200,20,,0,
2021-12-25,0,180,,,0,
2021-12-26,175,229,,,0,
2021-12-27,100,244,,,0,
2021-12-28,50,225,,,0,50
2021-12-29,25,130,,,0,50
2021-12-30,75,75,,,0,50
2021-12-31,50,100,,,0,50
2022-01-01,0,50,,,0,
2022-01-02,100,75,,,0,
2022-01-03,0,50,,,0,125
2022-01-04,175,25,234,,0,
2022-01-05,100,292,,,0,
2022-01-06,25,0,,,0,
2022-01-07,125,0,120,,0,
2022-01-08,0,0,,,0,
2022-01-09,50,100,,,0,
